codigo,municipio,clean,departamento
25317,Guachetá,guacheta,25
25320,Guaduas,guaduas,25
25322,Guasca,guasca,25
25324,Guataquí,guataqui,25
25326,Guatavita,guatavita,25
25328,Guayabal De Síquima,guayabal_de_siquima,25
25335,Guayabetal,guayabetal,25
25339,Gutiérrez,gutierrez,25
25368,Jerusalén,jerusalen,25
25372,Junín,junin,25
25377,La Calera,la_calera,25
25386,La Mesa,la_mesa,25
25394,La Palma,la_palma,25
25398,La Peña,la_pena,25
25402,La Vega,la_vega,25
25407,Lenguazaque,lenguazaque,25
25426,Machetá,macheta,25
25430,Madrid,madrid,25
25436,Manta,manta,25
25438,Medina,medina,25
25473,Mosquera,mosquera,25
25483,Nariño,narino,25
25486,Nemocón,nemocon,25
25488,Nilo,nilo,25
25489,Nimaima,nimaima,25
25491,Nocaima,nocaima,25
25506,Venecia,venecia,25
25513,Pacho,pacho,25
25518,Paime,paime,25
25524,Pandi,pandi,25
25530,Paratebueno,paratebueno,25
25535,Pasca,pasca,25
25572,Puerto Salgar,puerto_salgar,25
25580,Pulí,puli,25
25592,Quebradanegra,quebradanegra,25
25594,Quetame,quetame,25
25596,Quipile,quipile,25
25599,Apulo,apulo,25
25612,Ricaurte,ricaurte,25
25645,San Antonio Del Tequendama,san_antonio_del_tequendama,25
25649,San Bernardo,san_bernardo,25
25653,San Cayetano,san_cayetano,25
25658,San Francisco,san_francisco,25
25662,San Juan De Rioseco,san_juan_de_rioseco,25
25718,Sasaima,sasaima,25
25736,Sesquilé,sesquile,25
25740,Sibaté,sibate,25
25743,Silvania,silvania,25
25745,Simijaca,simijaca,25
25754,Soacha,soacha,25
25758,Sopó,sopo,25
25769,Subachoque,subachoque,25
25772,Suesca,suesca,25
25777,Supatá,supata,25
25779,Susa,susa,25
25781,Sutatausa,sutatausa,25
25785,Tabio,tabio,25
25793,Tausa,tausa,25
25797,Tena,tena,25
25799,Tenjo,tenjo,25
25805,Tibacuy,tibacuy,25
25807,Tibirita,tibirita,25
25815,Tocaima,tocaima,25
25817,Tocancipá,tocancipa,25
25823,Topaipí,topaipi,25
25839,Ubalá,ubala,25
25841,Ubaque,ubaque,25
25843,Villa De San Diego De Ubaté,villa_de_san_diego_de_ubate,25
25845,Une,une,25
25851,Útica,utica,25
25862,Vergara,vergara,25
25867,Vianí,viani,25
25871,Villagómez,villagomez,25
25873,Villapinzón,villapinzon,25
25875,Villeta,villeta,25
25878,Viotá,viota,25
25885,Yacopí,yacopi,25
25898,Zipacón,zipacon,25
25899,Zipaquirá,zipaquira,25
27001,Quibdó,quibdo,27
27006,Acandí,acandi,27
27025,Alto Baudó,alto_baudo,27
27050,Atrato,atrato,27
27073,Bagadó,bagado,27
27075,Bahía Solano,bahia_solano,27
27077,Bajo Baudó,bajo_baudo,27
27099,Bojayá,bojaya,27
27135,El Cantón Del San Pablo,el_canton_del_san_pablo,27
27150,Carmen Del Darién,carmen_del_darien,27
27160,Cértegui,certegui,27
27205,Condoto,condoto,27
27245,El Carmen De Atrato,el_carmen_de_atrato,27
27250,El Litoral Del San Juan,el_litoral_del_san_juan,27
27361,Istmina,istmina,27
27372,Juradó,jurado,27
27413,Lloró,lloro,27
27425,Medio Atrato,medio_atrato,27
27430,Medio Baudó,medio_baudo,27
27450,Medio San Juan,medio_san_juan,27
27491,Nóvita,novita,27
27495,Nuquí,nuqui,27
27580,Río Iró,rio_iro,27
27600,Río Quito,rio_quito,27
27615,Riosucio,riosucio,27
27660,San José Del Palmar,san_jose_del_palmar,27
27745,Sipí,sipi,27
27787,Tadó,tado,27
27800,Unguía,unguia,27
27810,Unión Panamericana,union_panamericana,27
41001,Neiva,neiva,41
41006,Acevedo,acevedo,41
41013,Agrado,agrado,41
41016,Aipe,aipe,41
41020,Algeciras,algeciras,41
41026,Altamira,altamira,41
41078,Baraya,baraya,41
41132,Campoalegre,campoalegre,41
41206,Colombia,colombia,41
41244,Elías,elias,41
41298,Garzón,garzon,41
41306,Gigante,gigante,41
41319,Guadalupe,guadalupe,41
41349,Hobo,hobo,41
41357,Íquira,iquira,41
41359,Isnos,isnos,41
41378,La Argentina,la_argentina,41
41396,La Plata,la_plata,41
41483,Nátaga,nataga,41
41503,Oporapa,oporapa,41
41518,Paicol,paicol,41
41524,Palermo,palermo,41
41530,Palestina,palestina,41
41548,Pital,pital,41
41551,Pitalito,pitalito,41
41615,Rivera,rivera,41
41660,Saladoblanco,saladoblanco,41
41668,San Agustín,san_agustin,41
41676,Santa María,santa_maria,41
41770,Suaza,suaza,41
41791,Tarqui,tarqui,41
41797,Tesalia,tesalia,41
41799,Tello,tello,41
41801,Teruel,teruel,41
41807,Timaná,timana,41
41872,Villavieja,villavieja,41
41885,Yaguará,yaguara,41
44001,Riohacha,riohacha,44
44035,Albania,albania,44
44078,Barrancas,barrancas,44
44090,Dibulla,dibulla,44
44098,Distracción,distraccion,44
44110,El Molino,el_molino,44
44279,Fonseca,fonseca,44
44378,Hatonuevo,hatonuevo,44
44420,La Jagua Del Pilar,la_jagua_del_pilar,44
44430,Maicao,maicao,44
44560,Manaure,manaure,44
44650,San Juan Del Cesar,san_juan_del_cesar,44
44847,Uribia,uribia,44
44855,Urumita,urumita,44
44874,Villanueva,villanueva,44
47001,Santa Marta,santa_marta,47
47030,Algarrobo,algarrobo,47
47053,Aracataca,aracataca,47
47058,Ariguaní,ariguani,47
47161,Cerro De San Antonio,cerro_de_san_antonio,47
47170,Chivolo,chivolo,47
47189,Ciénaga,cienaga,47
47205,Concordia,concordia,47
47245,El Banco,el_banco,47
47258,El Piñón,el_pinon,47
47268,El Retén,el_reten,47
47288,Fundación,fundacion,47
47318,Guamal,guamal,47
47460,Nueva Granada,nueva_granada,47
47541,Pedraza,pedraza,47
47545,Pijiño Del Carmen,pijino_del_carmen,47
47551,Pivijay,pivijay,47
47555,Plato,plato,47
47570,Puebloviejo,puebloviejo,47
47605,Remolino,remolino,47
47660,Sabanas De San Ángel,sabanas_de_san_angel,47
47675,Salamina,salamina,47
47692,San Sebastián De Buenavista,san_sebastian_de_buenavista,47
47703,San Zenón,san_zenon,47
47707,Santa Ana,santa_ana,47
47720,Santa Bárbara De Pinto,santa_barbara_de_pinto,47
47745,Sitionuevo,sitionuevo,47
47798,Tenerife,tenerife,47
47960,Zapayán,zapayan,47
47980,Zona Bananera,zona_bananera,47
50001,Villavicencio,villavicencio,50
50006,Acacías,acacias,50
50110,Barranca De Upía,barranca_de_upia,50
50124,Cabuyaro,cabuyaro,50
50150,Castilla La Nueva,castilla_la_nueva,50
50223,Cubarral,cubarral,50
50226,Cumaral,cumaral,50
50245,El Calvario,el_calvario,50
50251,El Castillo,el_castillo,50
50270,El Dorado,el_dorado,50
50287,Fuente De Oro,fuente_de_oro,50
50313,Granada,granada,50
50318,Guamal,guamal,50
50325,Mapiripán,mapiripan,50
50330,Mesetas,mesetas,50
50350,La Macarena,la_macarena,50
50370,Uribe,uribe,50
50400,Lejanías,lejanias,50
50450,Puerto Concordia,puerto_concordia,50
50568,Puerto Gaitán,puerto_gaitan,50
50573,Puerto López,puerto_lopez,50
50577,Puerto Lleras,puerto_lleras,50
50590,Puerto Rico,puerto_rico,50
50606,Restrepo,restrepo,50
50680,San Carlos De Guaroa,san_carlos_de_guaroa,50
50683,San Juan De Arama,san_juan_de_arama,50
50686,San Juanito,san_juanito,50
50689,San Martín,san_martin,50
50711,Vistahermosa,vistahermosa,50
52001,Pasto,pasto,52
52019,Albán,alban,52
52022,Aldana,aldana,52
52036,Ancuya,ancuya,52
52051,Arboleda,arboleda,52
52079,Barbacoas,barbacoas,52
52083,Belén,belen,52
52110,Buesaco,buesaco,52
52203,Colón,colon,52
52207,Consacá,consaca,52
52210,Contadero,contadero,52
52215,Córdoba,cordoba,52
52224,Cuaspud Carlosama,cuaspud_carlosama,52
52227,Cumbal,cumbal,52
52233,Cumbitara,cumbitara,52
52240,Chachagüí,chachagüi,52
52250,El Charco,el_charco,52
52254,El Peñol,el_penol,52
52256,El Rosario,el_rosario,52
52258,El Tablón De Gómez,el_tablon_de_gomez,52
52260,El Tambo,el_tambo,52
52287,Funes,funes,52
52317,Guachucal,guachucal,52
52320,Guaitarilla,guaitarilla,52
52323,Gualmatán,gualmatan,52
52352,Iles,iles,52
52354,Imués,imues,52
52356,Ipiales,ipiales,52
52378,La Cruz,la_cruz,52
52381,La Florida,la_florida,52
52385,La Llanada,la_llanada,52
52390,La Tola,la_tola,52
52399,La Unión,la_union,52
52405,Leiva,leiva,52
52411,Linares,linares,52
52418,Los Andes,los_andes,52
52427,Magüí,magüi,52
52435,Mallama,mallama,52
52473,Mosquera,mosquera,52
52480,Nariño,narino,52
52490,Olaya Herrera,olaya_herrera,52
52506,Ospina,ospina,52
52520,Francisco Pizarro,francisco_pizarro,52
52540,Policarpa,policarpa,52
52560,Potosí,potosi,52
52565,Providencia,providencia,52
52573,Puerres,puerres,52
52585,Pupiales,pupiales,52
52612,Ricaurte,ricaurte,52
52621,Roberto Payán,roberto_payan,52
52678,Samaniego,samaniego,52
52683,Sandoná,sandona,52
52685,San Bernardo,san_bernardo,52
52687,San Lorenzo,san_lorenzo,52
52693,San Pablo,san_pablo,52
52694,San Pedro De Cartago,san_pedro_de_cartago,52
52696,Santa Bárbara,santa_barbara,52
52699,Santacruz,santacruz,52
52720,Sapuyes,sapuyes,52
52786,Taminango,taminango,52
52788,Tangua,tangua,52
52835,San Andrés De Tumaco,san_andres_de_tumaco,52
52838,Túquerres,tuquerres,52
52885,Yacuanquer,yacuanquer,52
54001,San José De Cúcuta,san_jose_de_cucuta,54
54003,Ábrego,abrego,54
54051,Arboledas,arboledas,54
54099,Bochalema,bochalema,54
54109,Bucarasica,bucarasica,54
54125,Cácota,cacota,54
54128,Cáchira,cachira,54
54172,Chinácota,chinacota,54
54174,Chitagá,chitaga,54
54206,Convención,convencion,54
54223,Cucutilla,cucutilla,54
54239,Durania,durania,54
54245,El Carmen,el_carmen,54
54250,El Tarra,el_tarra,54
54261,El Zulia,el_zulia,54
54313,Gramalote,gramalote,54
54344,Hacarí,hacari,54
54347,Herrán,herran,54
54377,Labateca,labateca,54
54385,La Esperanza,la_esperanza,54
54398,La Playa,la_playa,54
54405,Los Patios,los_patios,54
54418,Lourdes,lourdes,54
54480,Mutiscua,mutiscua,54
54498,Ocaña,ocana,54
54518,Pamplona,pamplona,54
54520,Pamplonita,pamplonita,54
54553,Puerto Santander,puerto_santander,54
54599,Ragonvalia,ragonvalia,54
54660,Salazar,salazar,54
54670,San Calixto,san_calixto,54
54673,San Cayetano,san_cayetano,54
54680,Santiago,santiago,54
54720,Sardinata,sardinata,54
54743,Silos,silos,54
54800,Teorama,teorama,54
54810,Tibú,tibu,54
54820,Toledo,toledo,54
54871,Villa Caro,villa_caro,54
54874,Villa Del Rosario,villa_del_rosario,54
63001,Armenia,armenia,63
63111,Buenavista,buenavista,63
63130,Calarcá,calarca,63
63190,Circasia,circasia,63
63212,Córdoba,cordoba,63
63272,Filandia,filandia,63
63302,Génova,genova,63
63401,La Tebaida,la_tebaida,63
63470,Montenegro,montenegro,63
