departamento,municipio,altitud,latitud,longitud
Cundinamarca,San Bernardo (Cundinamarca),2700.0,4.152,-74.36
Cundinamarca,San Cayetano (Cundinamarca),2503.5,5.317,-74.042
Cundinamarca,San Juan De Rioseco,1906.5,4.878,-74.681
Cundinamarca,Sasaima,1425.0,4.973,-74.412
Cundinamarca,Sesquilé,2567.0,5.034,-73.848
Cundinamarca,Sibaté,2685.0,4.473,-74.03
Cundinamarca,Silvania,1245.0,4.41,-74.398
Cundinamarca,Simijaca,2584.0,5.559,-73.838
Cundinamarca,Soacha,2900.0,4.506,-74.189
Cundinamarca,Sopó,2585.0,4.88,-73.958
Cundinamarca,Subachoque,2650.0,4.928,-74.167
Cundinamarca,Suesca,2623.25,5.127,-73.784
Cundinamarca,Susa,2600.0,5.462,-73.802
Cundinamarca,Tabio,2587.5,4.916,-74.085
Cundinamarca,Tausa,1551.5,5.199,-73.924
Cundinamarca,Tenjo,2565.0,4.824,-74.169
Cundinamarca,Tibacuy,1592.5,4.349,-74.452
Cundinamarca,Tibirita,1769.0,5.05,-73.527
Cundinamarca,Tocaima,361.0,4.455,-74.609
Cundinamarca,Tocancipá,2497.0,4.983,-73.933
Cundinamarca,Ubalá,1764.583,4.794,-73.462
Cundinamarca,Ubaque,2980.0,4.483,-74.03
Cundinamarca,Ubaté,2582.5,5.316,-73.822
Cundinamarca,Une,220.0,4.429,-74.01
Cundinamarca,Venecia (Cundinamarca),1450.0,4.082,-74.489
Cundinamarca,Villagómez,1575.0,5.272,-74.197
Cundinamarca,Villapinzón,2522.5,5.25,-73.558
Cundinamarca,Villeta,523.0,5.023,-74.487
Cundinamarca,Viotá,567.0,4.443,-74.542
Cundinamarca,Yacopí,1381.5,5.492,-74.361
Cundinamarca,Zipaquirá,3005.667,5.04,-74.019
Cundinamarca,Útica,497.0,5.196,-74.486
Córdoba,Ayapel,23.333,8.323,-75.046
Córdoba,Buenavista (Córdoba),37.0,8.068,-75.361
Córdoba,Canalete,37.5,8.787,-76.236
Córdoba,Cereté,19.5,8.895,-75.772
Córdoba,Chima (Córdoba),26.667,9.15,-75.618
Córdoba,Chinú,125.0,9.118,-75.393
Córdoba,Ciénaga De Oro,14.0,8.925,-75.708
Córdoba,Cotorra,20.0,9.042,-75.775
Córdoba,La Apartada,50.0,8.053,-75.339
Córdoba,Lorica,28.25,9.268,-75.853
Córdoba,Montelíbano,86.5,8.038,-75.565
Córdoba,Montería,39.412,8.657,-75.92
Córdoba,Planeta Rica,99.0,8.34,-75.572
Córdoba,Pueblo Nuevo,62.5,8.455,-75.438
Córdoba,Puerto Escondido,15.0,9.071,-76.224
Córdoba,Puerto Libertador,61.667,7.917,-75.679
Córdoba,Sahagún,125.0,8.741,-75.499
Córdoba,San Andrés De Sotavento,71.875,9.202,-75.519
Córdoba,San Antero,20.5,9.351,-75.793
Córdoba,San Bernardo Del Viento,9.667,9.306,-75.974
Córdoba,San Carlos (Córdoba),51.857,8.756,-75.707
Córdoba,San Jose De Ure,200.0,7.788,-75.538
Córdoba,San Pelayo,16.333,9.017,-75.837
Córdoba,Tierralta,176.464,7.922,-76.218
Córdoba,Valencia,82.5,8.291,-76.155
Guainía,Barranco Mina,96.75,3.691,-69.101
Guainía,Inírida,100.0,3.871,-67.925
Guainía,Mapiripana,113.0,3.05,-70.225
Guaviare,El Retorno,150.0,2.373,-72.64
Guaviare,San José Del Guaviare,194.0,2.583,-72.538
Huila,Acevedo,2225.0,1.583,-76.0
