geo_id,departamento,municipio,altitud,latitud,longitud
15296,boyacá,gámeza,3200.0,5.782,-72.77
15362,boyacá,iza,2470.0,5.616,-72.976
15367,boyacá,jenesano,1184.0,5.401,-73.364
15104,boyacá,jericó-boyacá,2962.0,6.141,-72.593
15380,boyacá,la-capilla,1917.0,5.099,-73.436
15403,boyacá,la-uvita,2950.0,6.248,-72.549
15377,boyacá,labranzagrande,1125.0,5.567,-72.584
15425,boyacá,macanal,1581.667,4.969,-73.317
15442,boyacá,maripí,1390.0,5.55,-74.017
15104,boyacá,miraflores-boyacá,1170.333,5.186,-73.129
15464,boyacá,mongua,2900.0,5.758,-72.794
15466,boyacá,monguí,1500.0,5.721,-72.849
15469,boyacá,moniquirá,1050.8,5.865,-73.571
15476,boyacá,motavita,3195.0,5.634,-73.386
15480,boyacá,muzo,850.0,5.535,-74.101
15491,boyacá,nobsa,2515.0,5.778,-72.917
15494,boyacá,nuevo-colón,2438.0,5.353,-73.454
15500,boyacá,oicatá,2645.0,5.606,-73.323
15507,boyacá,otanche,1100.0,5.662,-74.185
15511,boyacá,pachavita,2160.0,5.139,-73.396
15516,boyacá,paipa,2508.143,5.795,-73.128
15518,boyacá,pajarito,1231.8,5.355,-72.708
15531,boyacá,pauna,969.0,5.65,-74.006
15537,boyacá,paz-de-rio,2495.0,5.992,-72.766
15542,boyacá,pesca,2609.333,5.552,-73.058
15550,boyacá,pisva,1482.0,5.721,-72.488
15572,boyacá,puerto-boyacá,257.25,5.937,-74.539
15514,boyacá,páez,1175.0,5.093,-73.046
15580,boyacá,quípama,1250.0,5.521,-74.182
15599,boyacá,ramiriquí,1604.0,5.402,-73.35
15621,boyacá,rondón,2140.0,5.354,-73.21
15600,boyacá,ráquira,2290.0,5.539,-73.631
15632,boyacá,saboyá,2550.0,5.696,-73.759
15646,boyacá,samacá,2820.5,5.463,-73.518
15667,boyacá,san-luis-de-gaceno,400.0,4.82,-73.17
15673,boyacá,san-mateo,1100.0,6.45,-72.617
15676,boyacá,san-miguel-de-sema,2550.0,5.55,-73.733
15681,boyacá,san-pablo-de-borbur,751.0,5.649,-74.069
15104,boyacá,santa-maría-boyacá,752.889,4.856,-73.248
15693,boyacá,santa-rosa-de-viterbo,2595.0,5.843,-72.985
15696,boyacá,santa-sofía,2520.0,5.715,-73.63
15686,boyacá,santana,1520.0,6.077,-73.469
15720,boyacá,sativanorte,2917.0,6.128,-72.738
15740,boyacá,siachoque,2720.0,5.506,-73.251
15757,boyacá,socha,1845.0,5.98,-72.791
15755,boyacá,socotá,2787.0,6.036,-72.599
15759,boyacá,sogamoso,2751.0,5.701,-72.916
15761,boyacá,somondoco,2280.0,4.957,-73.434
15764,boyacá,soracá,2873.0,5.519,-73.311
15763,boyacá,sotaquirá,2639.0,5.747,-73.208
15774,boyacá,susacón,2550.0,6.232,-72.689
15776,boyacá,sutamarchán,2500.0,5.618,-73.613
15778,boyacá,sutatenza,1930.0,5.022,-73.449
15638,boyacá,sáchica,2560.0,5.588,-73.513
15790,boyacá,tasco,2486.0,5.86,-72.785
15798,boyacá,tenza,1571.6,5.078,-73.419
15804,boyacá,tibaná,2115.0,5.315,-73.396
15806,boyacá,tibasosa,2495.0,5.78,-73.001
15814,boyacá,toca,2764.0,5.591,-73.185
15822,boyacá,tota,32.0,5.492,-72.938
15001,boyacá,tunja,2690.0,5.543,-73.361
15835,boyacá,turmequé,2400.0,5.318,-73.496
15837,boyacá,tuta,2585.333,5.684,-73.236
15839,boyacá,tutazá,2816.5,6.067,-72.861
15861,boyacá,ventaquemada,3014.0,5.388,-73.583
15407,boyacá,villa-de-leiva,2176.625,5.654,-73.537
15897,boyacá,zetaquirá,1578.0,5.289,-73.17
15842,boyacá,úmbita,2300.0,5.219,-73.445
17013,caldas,aguadas,1664.75,5.619,-75.478
17042,caldas,anserma,853.0,5.234,-75.808
17088,caldas,belalcazar,947.0,4.988,-75.859
17174,caldas,chinchina,1500.0,5.017,-75.517
17272,caldas,filadelfia,801.0,5.28,-75.648
17380,caldas,la-dorada,197.333,5.449,-74.709
17001,caldas,manizales,1715.778,5.056,-75.461
